symbol,interval_sc,open_timestamp_ms,open,high,low,close,volume
BTC-USDT,60,1761369060000,111150.6,111150.6,111101.95,111105.14,11.33452
BTC-USDT,60,1761369120000,111105.14,111117.93,111095.39,111117.93,3.87837
BTC-USDT,60,1761369180000,111117.93,111148.7,111117.93,111148.69,2.69419
BTC-USDT,60,1761369240000,111148.69,111148.69,111148.68,111148.68,0.638
BTC-USDT,60,1761369300000,111148.68,111148.69,111093.99,111094.0,4.10432
BTC-USDT,60,1761369360000,111093.99,111107.63,111093.99,111107.63,1.61329
BTC-USDT,60,1761369420000,111107.63,111107.63,111096.5,111096.5,1.95931
BTC-USDT,60,1761369480000,111096.5,111105.9,111096.5,111105.9,1.61135
BTC-USDT,60,1761369540000,111105.89,111128.49,111105.89,111128.49,1.68065
BTC-USDT,60,1761369600000,111128.49,111156.32,111128.49,111156.31,5.39516
BTC-USDT,60,1761369660000,111156.32,111202.0,111156.31,111201.99,2.51711
BTC-USDT,60,1761369720000,111201.99,111202.0,111201.99,111201.99,0.53323
BTC-USDT,60,1761369780000,111201.99,111234.38,111183.44,111190.08,10.49792
BTC-USDT,60,1761369840000,111190.08,111190.08,111183.43,111183.43,2.81862
BTC-USDT,60,1761369900000,111183.44,111183.44,111154.31,111154.31,2.7049
BTC-USDT,60,1761369960000,111154.31,111158.75,111154.31,111158.74,1.14283
BTC-USDT,60,1761370020000,111158.75,111181.63,111158.75,111181.43,6.27062
BTC-USDT,60,1761370080000,111181.43,111189.43,111181.43,111189.42,1.17847
BTC-USDT,60,1761370140000,111189.43,111189.43,111189.42,111189.42,8.33077
BTC-USDT,60,1761370200000,111189.43,111210.6,111189.42,111210.59,2.7439
BTC-USDT,60,1761370260000,111210.59,111216.38,111202.58,111216.37,12.29542
BTC-USDT,60,1761370320000,111216.37,111216.38,111195.38,111195.38,9.18709
BTC-USDT,60,1761370380000,111195.38,111228.3,111195.38,111228.3,2.069
BTC-USDT,60,1761370440000,111228.29,111264.59,111228.29,111264.59,10.30391
BTC-USDT,60,1761370500000,111264.59,111264.59,111264.58,111264.59,0.67688
BTC-USDT,60,1761370560000,111264.58,111264.59,111264.58,111264.59,0.29834
BTC-USDT,60,1761370620000,111264.58,111264.59,111264.58,111264.58,0.56115
BTC-USDT,60,1761370680000,111264.59,111272.0,111264.58,111272.0,4.4437
BTC-USDT,60,1761370740000,111271.99,111280.36,111271.99,111280.36,1.08525
BTC-USDT,60,1761370800000,111280.35,111290.24,111280.35,111290.24,3.83675
BTC-USDT,60,1761370860000,111290.24,111290.24,111290.23,111290.23,1.96263
BTC-USDT,60,1761370920000,111290.24,111290.24,111290.23,111290.23,2.34537
